"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"PhysioBrite UK","https://www.doctify.com/uk/practice/physio-brite","","London, W1H 6HJ","Physical Therapy; Sports & Exercise Medicine; Acupuncture; Diagnostics & Testing; Hand Therapy; Imaging (Scans); Mobility; Neurological Rehabilitation; Neurology; Occupational Therapy; Oncology; Paediatric Neurology; Pain Management; Palliative Medicine; Physiotherapy; Rehabilitation Medicine; Rheumatology; Small Bowel Cancer; Soft Tissue Sarcoma; Specialised Exercise Programmes (Rehabilitation); Spinal Metastases; Sports Injury; Sports Rehabilitation; Sports Therapy; Wheelchair and Scooter Loading; Wheelchairs; Xray","","63","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"sykle.life","https://www.doctify.com/uk/practice/syklelife","","London, W1G 6AH","Cardiology; Diagnostic Pathway – Cardiac; Dietetics; General Practice (GP); Holistic Therapy; Imaging (Scans); Integrated Medicine; Medical Weight Loss","","14","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Lanthorn Clinic","https://www.doctify.com/uk/practice/lanthorn-clinic","","London, WC1X 0AY","Blood Tests; Diagnostics & Testing; Health Screening; Imaging (Scans); Interventional Radiology; Musculoskeletal Radiology; Pain Management; Radiology; Sonography; Sports & Exercise Medicine; Ultrasonography","","20","","","","1-23552585321","Mr Thomas Luke Mcferran","Dr Jeevon Benning","exact","","","","","","","NOT_FOUND","","","","","Dr Jeevon Benning","","","","","","","","","","","","","unknown","","","","",""
"Joint Care London","https://www.doctify.com/uk/practice/joint-care-london","","London, NW11 8DN","Diagnostics & Testing; Exercise Medicine; Imaging (Scans); Interventional Radiology; Musculoskeletal Medicine; Musculoskeletal Radiology; Pain Management; Pain Medicine; Radiology; Rheumatology; Sonography; Spinal Medicine; Sports & Exercise Medicine; Sports Injury","","33","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Scan.com","https://www.doctify.com/uk/practice/scancom","","London, SW9 9UH","Imaging (Scans); Radiology","","1","","","","1-14822653582","Mr Mark Jasper Nissim","Mr Mark Jasper Nissim","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Mark Jasper Nissim","","","","","","","","","","","","","unknown","","","","",""
"Smart MRI","https://www.doctify.com/uk/practice/smart-mri","","London, NW9 6NB","Diagnostic Neuroradiology; Diagnostics & Testing; Imaging (Scans); Musculoskeletal Radiology; Paediatric Radiology; Radiology; Uro-Radiology","","44","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"European Scanning Centre Harley Street","https://www.doctify.com/uk/practice/alliance-medical---harley-street","","London, W1G 7HE","Imaging (Scans); Xray","","161","","","","1-201307300","Mr Sam Peter Snell","Mrs Derrian Mercieca","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Derrian Mercieca","","","","","","","","","","","","","unknown","","","","",""
"Alliance Medical - Bulstrode Place","https://www.doctify.com/uk/practice/alliance-medical---bulstrode-place","","London, W1U 2HX","Imaging (Scans)","","120","","","","1-26672318977","Mr Rui Daniel De Jesus Melo","Mrs Derrian Mercieca","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Derrian Mercieca","","","","","","","","","","","","","unknown","","","","",""
"Tawazun Fibroscan Service","https://www.doctify.com/uk/practice/tawazun-health","","London, W1G 9QN","Cardiology; Diagnostics & Testing; Endocrinology & Diabetes; Gastroenterology; General Practice (GP); Hepatology; Imaging (Scans); Infectious Diseases; Public Health Medicine; Rheumatology","","21","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Urgent Care Centre Marylebone","https://www.doctify.com/uk/practice/urgent-care-centre-marylebone","","London, W1U 5NY","Emergency Medicine; General Practice (GP); Imaging (Scans)","","21","","","","1-2631831038","Ms Halina Leila Rucinska","Mr Mark Lee Allan","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Mark Lee Allan","","","","","","","","","","","","","unknown","","","","",""
"Tunica Diagnostics","https://www.doctify.com/uk/practice/tunica-diagnostics","","London, WC2H 0DT","Imaging (Scans); Vascular Surgery","","12","","","","1-15125385272","Mr Samuel Owura Amoah","Mrs Magdalene Amoah","exact","","","","","","","NOT_FOUND","","","","","Mrs Magdalene Amoah","","","","","","","","","","","","","unknown","","","","",""
"Oryon Imaging","https://www.doctify.com/uk/practice/london-imaging-centre","","London, W1G 9ST","Imaging (Scans); Nuclear Medicine; Sonography; Xray","","6","","","","1-441183786","Mrs Evashnee Ruthnam","Mr Leslie Clark","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Leslie Clark","","","","","","","","","","","","","unknown","","","","",""
"TIC Health","https://www.doctify.com/uk/practice/tic-health","","London, W1G 7JQ","Blood Tests; Cardiology; Diagnostic Pathway – Cardiac; Diagnostics & Testing; General Practice (GP); General Practice (GP) (Video Consultation); Health Screening; Home Testing; Imaging (Scans); Men's Health; Occupational Medicine; Osteopathy; Women's Health","","0","","","","1-2297236525","Ms Katy Anne Mulligan","Mr Aaron Roberts","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Aaron Roberts","","","","","","","","","","","","","unknown","","","","",""
"ViTOX","https://www.doctify.com/uk/practice/vitox","","London, W1J 8AJ","Blood Tests; Covid-19 Testing; Diagnostics & Testing; Emergency Medicine; Functional Medicine; General Practice (GP); Health Coaching; Health Screening; Imaging (Scans); Lifestyle Medicine; Nutrition; Nutritionist","","0","","","","1-9959062596","","Dr Nicole Owolabi","exact","","","","","","","NOT_FOUND","","","","","Dr Nicole Owolabi","","","","","","","","","","","","","unknown","","","","",""
"Lung Nodule Clinic","https://www.doctify.com/uk/practice/lung-nodule-clinic","","London, SE1 2PR","Imaging (Scans); Respiratory Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Alliance Medical Harley Street","https://www.doctify.com/uk/practice/alliance-medical-harley-street","","Marylebone, W1G 7HE","Imaging (Scans); Nuclear Medicine; Sonography; Xray","","0","","","","1-201307300","Mr Sam Peter Snell","Mrs Derrian Mercieca","exact","","","","","","","NOT_FOUND","","","","","Mrs Derrian Mercieca","","","","","","","","","","","","","unknown","","","","",""
"3Beam Imaging Centre","https://www.doctify.com/uk/practice/3beam-imaging-centre","","London, W1G 7HP","Imaging (Scans); Nuclear Medicine; Xray","","0","","","","1-8906660524","Dr Emil Gadimaliyev","Mr Alireza Samani","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Alireza Samani","","","","","","","","","","","","","unknown","","","","",""
"108 Medical Chambers X-ray and Imaging","https://www.doctify.com/uk/practice/108-medical-chambers-x-ray-and-imaging","","London, W1G 7ET","Imaging (Scans); Sonography; Xray","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Cavendish Imaging Ltd","https://www.doctify.com/uk/practice/cavendish-imaging-ltd","","London, W1G 6AN","Imaging (Scans); Nuclear Medicine; Sonography; Xray","","0","","","","1-1574766517","Dr Veronique Sauret-Jackson","Mrs Sarah Elizabeth Rickels","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Sarah Elizabeth Rickels","","","","","","","","","","","","","unknown","","","","",""
"The London Upright MRI Centre","https://www.doctify.com/uk/practice/inhealth-the-london-upright-mri-centre","","West End, W1T 1QD","Imaging (Scans); Radiology; Rehabilitation Medicine; Sports & Exercise Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"InHealth Community Diagnostic Centre Waterloo","https://www.doctify.com/uk/practice/inhealth-community-diagnostic-centre-waterloo","","Waterloo & South Bank, SE1 8RT","Imaging (Scans); Sonography; Xray","","0","","","","1-115971045","Miss Emily Clare Jennings","Mr Benjamin Stanfield-Davies","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Benjamin Stanfield-Davies","","","","","","","","","","","","","unknown","","","","",""
"Medserena Upright MRI","https://www.doctify.com/uk/practice/medserena-upright-mri","","London, SW7 4ES","Imaging (Scans); Radiology","","0","","","","1-748318476","Mr David James Rose","Mr David Holtey","fuzzy","","","","","","","NOT_FOUND","","","","","Mr David Holtey","","","","","","","","","","","","","unknown","","","","",""
"InHealth Community Diagnostic Centre Golders Green","https://www.doctify.com/uk/practice/inhealth-community-diagnostic-centre-golders-green","","Golders Green, NW11 7HB","Imaging (Scans); Sonography; Xray","","0","","","","1-625240125","Miss Lauren Emily Henderson","Mr Benjamin Stanfield-Davies","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Benjamin Stanfield-Davies","","","","","","","","","","","","","unknown","","","","",""
"CDS Ultrasound","https://www.doctify.com/uk/practice/cds-ultrasound","","Hendon, NW4 1RP","Imaging (Scans); Sonography","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"InHealth - Ealing Diagnostic Centre","https://www.doctify.com/uk/practice/inhealth-ealing-diagnostic-centre","","Walpole, W13 8RD","Imaging (Scans); Sonography; Xray","","0","","","","1-682381607","Miss Lauren Emily Henderson","Mr Benjamin Stanfield-Davies","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Benjamin Stanfield-Davies","","","","","","","","","","","","","unknown","","","","",""
"Sloane Diagnostic Imaging","https://www.doctify.com/uk/practice/sloane-diagnostic-imaging","","Beckenham Town & Copers Cope, BR3 5HS","Imaging (Scans); Sonography; Xray","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Balance My Hormones","https://www.doctify.com/uk/practice/balance-my-hormones","","London, EC1A 2BN","Endocrinology & Diabetes; General Practice (GP); General Practice (GP) (Video Consultation); Health Screening; Men's Health; Women's Health","","12","","","","1-12174426372","Mr Michael Allen Kocsis","Mr Michael Allen Kocsis","exact","","","","","","","NOT_FOUND","","","","","Mr Michael Allen Kocsis","","","","","","","","","","","","","unknown","","","","",""
"The Catalyst Clinic","https://www.doctify.com/uk/practice/the-catalyst-clinic","","London, W8 4SG","Chemical Pathology; Cosmetic (Aesthetic) Medicine; Exercise Medicine; Metabolic Medicine; Rheumatology; Sports & Exercise Medicine; Sports Injury","","13","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"UK Vein Clinic - Harley Street","https://www.doctify.com/uk/practice/uk-vein-clinic","","Marylebone, London, W1G 7LQ","Vascular Surgery","","171","","","","1-9843059982","Dr Peter Alastair Finigan","Dr Peter Alastair Finigan","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Peter Alastair Finigan","","","","","","","","","","","","","unknown","","","","",""
"Solice Health","https://www.doctify.com/uk/practice/solice-health","","London, W1K 3JL","Acupuncture; Allergy Medicine; Cosmetic (Aesthetic) Medicine; Diagnostics & Testing; Dietetics; Fertility Medicine; General (Internal) Medicine; General Practice (GP); Health and Social Care; Holistic Therapy; Integrated Medicine; Medical Weight Loss; Nursing; Nutrition; Nutritionist; Occupational Medicine; Osteopathy; Pain Management; Primary Care; Sexual & Reproductive Health; Sports & Exercise Medicine; Sports Therapy; Traditional Chinese Medicine; Travel Medicine","","5","","","","1-14389730745","Dr Liza Emuagbajogho Osagie","Dr Liza Emuagbajogho Osagie","exact","","","","","","","NOT_FOUND","","","","","Dr Liza Emuagbajogho Osagie","","","","","","","","","","","","","unknown","","","","",""
"Longevity Concierge","https://www.doctify.com/uk/practice/lifestyle-first","","London, W1U 1QY","Diagnostics & Testing; General Practice (GP); General Practice (GP) (Video Consultation); Holistic Therapy; Integrated Medicine; Medical Weight Loss; Nutrition","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Body Lab","https://www.doctify.com/uk/practice/the-body-lab","","London, W8 6SU","Acupuncture; General Practice (GP); Lifestyle Medicine; Men's Health; Nutrition & Diet; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"My Longevity Centre","https://www.doctify.com/uk/practice/my-longevity-centre","","London, W1H 6HJ","General Practice (GP); Lifestyle Medicine","","0","","","","1-15126176652","Mr David Phillip Williams","Ms Simrat Marwah","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Simrat Marwah","","","","","","","","","","","","","unknown","","","","",""
"London Medical Suites","https://www.doctify.com/uk/practice/london-medical-suites","","London, W14 8QA","Cosmetic (Aesthetic) Medicine; Dentistry; General Practice (GP)","","0","","","","1-24338138972","Dr Joseph Abuazza","Dr Joseph Abuazza","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Joseph Abuazza","","","","","","","","","","","","","unknown","","","","",""
"Optegra Eye Hospital London","https://www.doctify.com/uk/practice/optegra-eye-hospital-london","","London, W1G 9HT","Vision Correction Surgery; Cataract Surgery; Ophthalmology","","692","","","","1-2185777628","","Mr Christopher Chisholm","exact","","","","","","","NOT_FOUND","","","","","Mr Christopher Chisholm","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"The London Clinic Eye Centre","https://www.doctify.com/uk/practice/the-london-clinic-eye-centre","","London, W1G 6AU","Retina; Vision Correction Surgery; Emergency Ophthalmology; Neuro-Ophthalmology; Vitreoretinal Surgery; Adult Ocular Oncology; Cataract Surgery; Glaucoma; Medical Ophthalmology; Oculoplastic Surgery; Ophthalmology; Optometry; Refractive Surgery / Surgical Solutions","","397","","","","1-1428685967","Mr Lyndon Da Cruz","Mr Andrew Travers","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Andrew Travers","","","","","","","","","","","","","unknown","","","","",""
"The London Squint Clinic","https://www.doctify.com/uk/practice/the-london-squint-clinic-1","","London, W1G 9HX","Ophthalmology","","104","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The London Ophthalmology Centre","https://www.doctify.com/uk/practice/the-london-ophthalmology-centre","","London, W1G 6AQ","Ophthalmology","","132","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Moorfields Private Eye Hospital","https://www.doctify.com/uk/practice/moorfields-private","","London, EC1V 9LF","Refractive Surgery / Surgical Solutions; Retina; Paediatric Ophthalmology and Strabismus; Neuro-Ophthalmology; Adult Ocular Oncology; Vision Correction Surgery; Vitreoretinal Surgery; Oculoplastic Surgery; Emergency Ophthalmology; Cataract Surgery; Glaucoma; Ophthalmology","","8644","","","","RP601","","Mr Ian Tombleson","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Ian Tombleson","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"OCL Vision London","https://www.doctify.com/uk/practice/ocl-vision","","London, W1G 9TF","Vision Correction Surgery; Cataract Surgery; Refractive Surgery / Surgical Solutions; Cosmetic (Aesthetic) Medicine; Glaucoma; Oculoplastic Surgery; Ophthalmology; Retina; Vitreoretinal Surgery","","98","","","","1-6205446187","Ali Abdulwahid Mearza","Ali Abdulwahid Mearza","fuzzy","","","","","","","NOT_FOUND","","","","","Ali Abdulwahid Mearza","","","","","","","","","","","","","unknown","","","","",""
"Private care at the Western Eye Hospital","https://www.doctify.com/uk/practice/private-care-western-eye-hospital","","London, NW1 5QH","Cataract Surgery; Ophthalmology","","167","","","","RYJ07","","Professor Julian Redhead","fuzzy","","","","","","","NOT_FOUND","","","","","Professor Julian Redhead","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Clinica London","https://www.doctify.com/uk/practice/clinica-london","","London, W1G 7LB","Emergency Ophthalmology; Oculoplastic Surgery; Adult Ocular Oncology; Cataract Surgery; Cornea; Cosmetic Dermatology; Dermatology; General Dermatology; Glaucoma; Medical Ophthalmology; Neuro-Ophthalmology; Ophthalmology; Paediatric Dermatology; Paediatric Ophthalmology and Strabismus; Penile / Scrotal Dermatology; Refractive Surgery / Surgical Solutions; Retina; Vision Correction Surgery; Vitreoretinal Surgery; Vulval Dermatology","","31","","","","1-313912324","Miss Jane Madeline Olver","Miss Jane Madeline Olver","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Jane Madeline Olver","","","","","","","","","","","","","unknown","","","","",""
"Centre for Sight London","https://www.doctify.com/uk/practice/centre-for-sight-london","","London, W1G 9LG","Cataract Surgery; Glaucoma; Ophthalmology; Refractive Surgery / Surgical Solutions; Retina; Vision Correction Surgery","","3","","","","1-1067442671","Miss Margaret Mary Da Costa","Miss Margaret Mary Da Costa","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Margaret Mary Da Costa","","","","","","","","","","","","","unknown","","","","",""
"OCL Vision Kensington","https://www.doctify.com/uk/practice/ocl-vision-kensington","","London, W14 8NS","Cataract Surgery; Cosmetic (Aesthetic) Medicine; Cosmetic Plastic Surgery; Glaucoma; Ophthalmology; Refractive Surgery / Surgical Solutions; Retina; Vision Correction Surgery; Vitreoretinal Surgery","","11","","","","1-15397658417","Ali Abdulwahid Mearza","Ali Abdulwahid Mearza","exact","","","","","","","NOT_FOUND","","","","","Ali Abdulwahid Mearza","","","","","","","","","","","","","unknown","","","","",""
"The Clinic Holland Park","https://www.doctify.com/uk/practice/the-clinic-at-holland-park","","London, W11 4UE","Cosmetic (Aesthetic) Medicine; Dermatology; General Practice (GP); Nutritionist; Ophthalmology","","208","","","","1-12494810655","Dr Richard Lawrence Scawn","Jennifer Doyle","fuzzy","","","","","","","NOT_FOUND","","","","","Jennifer Doyle","","","","","","","","","","","","","unknown","","","","",""
"Dry Eye Centre","https://www.doctify.com/uk/practice/dry-eye-centre","","London, W1W 5DY","Optometry","","32","","","","1-19877862965","Mr Samer Mohamed Hamada","Mr Samer Mohamed Hamada","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Samer Mohamed Hamada","","","","","","","","","","","","","unknown","","","","",""
"Freedom Vision - Dalston","https://www.doctify.com/uk/practice/freedom-vision-dalston","","Dalston, N1 4BZ","Cataract Surgery; Glaucoma; Ophthalmology; Refractive Surgery / Surgical Solutions; Vision Correction Surgery","","9","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Clarity - Wandsworth","https://www.doctify.com/uk/practice/clarity-wandsworth","","Wandsworth, SW18 4GP","Cataract Surgery; Glaucoma; Oculoplastic Surgery; Ophthalmology; Retina; Vision Correction Surgery; Vitreoretinal Surgery","","2","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Clarity - New Cross","https://www.doctify.com/uk/practice/clarity-new-cross","","London, SE14 6BL","Cataract Surgery; Ophthalmology","","4","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Precision Vision London","https://www.doctify.com/uk/practice/precision-vision-london","","London, W1G 9PB","Cataract Surgery; Ophthalmology; Optometry; Refractive Surgery / Surgical Solutions; Vision Correction Surgery","","170","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Optegra Eye Hospital North London","https://www.doctify.com/uk/practice/optegra-eye-hospital-north-london","","London, NW9 6BX","Cataract Surgery; Ophthalmology","","248","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"LaserVision","https://www.doctify.com/uk/practice/laservision","","London, SW1P 2PN","Cataract Surgery; Emergency Ophthalmology; Glaucoma; Ophthalmology; Refractive Surgery / Surgical Solutions; Vision Correction Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Eyelink Opticians","https://www.doctify.com/uk/practice/eyelink-opticians","","London, EC4V 6DU","Audiology; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Eye Clinic London","https://www.doctify.com/uk/practice/eye-clinic-london","","London, W1W 5DY","Cataract Surgery; Ophthalmology","","0","","","","1-19877862965","Mr Samer Mohamed Hamada","Mr Samer Mohamed Hamada","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Samer Mohamed Hamada","","","","","","","","","","","","","unknown","","","","",""
"The Richard Desmond Children’s Centre, Moorfields Hospital","https://www.doctify.com/uk/practice/the-richard-desmond-childrens-centre-moorfields-hospital","","London, EC1V 9EZ","Ophthalmology; Paediatric Ophthalmology and Strabismus","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Clarity - Ilford","https://www.doctify.com/uk/practice/clarity-ilford","","Ilford, IG1 2DG","Cataract Surgery; Gastroenterology; Inflammatory Bowel Diseases (IBD) such as ulcerative Colitis or Crohn's Disease; Ophthalmology","","5","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Barnard Levit","https://www.doctify.com/uk/practice/barnard-levit","","London, NW11 7EL","Audiology; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Moorfields Private, New Cavendish Street","https://www.doctify.com/uk/practice/moorfields-private-eye-centre","","London, W1G 8TL","Retina; Cataract Surgery; Glaucoma; Oculoplastic Surgery; Ophthalmology; Optometry; Refractive Surgery / Surgical Solutions; Vision Correction Surgery","","57","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""moorfields""","","","","pre_filtered","","","","",""
"Freedom Vision - Wembley","https://www.doctify.com/uk/practice/freedom-vision-wembley","","Wembley, HA9 0HP","Cataract Surgery; Ophthalmology","","6","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Freedom Vision - Croydon","https://www.doctify.com/uk/practice/freedom-vision-croydon","","Croydon, CR0 2RD","","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Burnett Hodd & Tam Optometry","https://www.doctify.com/uk/practice/burnett-hodd-and-tam-optometry","","London, W1W 5DY","Ophthalmology; Optometry","","185","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"City Dermatology Clinic","https://www.doctify.com/uk/practice/city-dermatology-clinic","","London, W1G 9PB","Breast Surgery; Dermatology; Ophthalmology; Paediatric Surgery; Paediatrics; Plastic Surgery","","43","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Face Restoration","https://www.doctify.com/uk/practice/face-restoration","","London, W1G 9QW","Oculoplastic Surgery; Adult Ocular Oncology; Cosmetic (Aesthetic) Medicine; Cosmetic Plastic Surgery; Facial Cosmetic & Reconstructive Surgery; Facial Plastic Reconstructive Surgery; Neuro-Ophthalmology; Ophthalmology; Plastic Surgery; Reconstructive Surgery","","27","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Harley Street Eye Clinic","https://www.doctify.com/uk/practice/the-harley-street-eye-clinic","","London, W1G 7HP","Cataract Surgery; Emergency Ophthalmology; Glaucoma; Oculoplastic Surgery; Ophthalmology; Retina; Vision Correction Surgery","","12","","","","1-5353496345","Dr Ahmed Nagiati El-Amir","Dr Ahmed Nagiati El-Amir","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Ahmed Nagiati El-Amir","","","","","","","","","","","","","unknown","","","","",""
"St John & St Elizabeth Hospital Ophthalmology Clinic","https://www.doctify.com/uk/practice/hje-london-eye-clinic","","London, -","Retina; Glaucoma; Ophthalmology","","57","","","","1-115480780","Mrs Sarah Lesley Colebrook","Mr Simon James","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Simon James","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Arnott Eye Associates","https://www.doctify.com/uk/practice/arnott-eye-associates","","London, W1G 9HT","Ophthalmology","","6","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"152 Harley Street","https://www.doctify.com/uk/practice/152-harley-street","","London, W1G 7LH","Cosmetic Plastic Surgery; Plastic Surgery; Facial Plastic Reconstructive Surgery; General Dermatology; Allergy Medicine; Cosmetic (Aesthetic) Medicine; Cosmetic Dermatology; Dermatology; Hair Restoration; Hand Surgery; MOHS Surgery; Oral & Maxillofacial Surgery; Orthotics; Paediatric Dermatology; Paediatrics; Psychology; Radiology; Reconstructive Surgery; Vascular Surgery","","96","","","","1-224446773","","Ms Jayne Williams","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Jayne Williams","","","","","","","","","","","","","unknown","","","","",""
"Vision Care Barnet","https://www.doctify.com/uk/practice/vision-care-barnet","","London, New Barnet","Cataract Surgery; Glaucoma; Ophthalmology; Optometry; Refractive Surgery / Surgical Solutions; Vision Correction Surgery","","169","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"EuroEyes LEC London","https://www.doctify.com/uk/practice/lec-london","","London, SW3 1PY","Cataract Surgery; Ophthalmology; Refractive Surgery / Surgical Solutions; Vision Correction Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Zack's eye clinic","https://www.doctify.com/uk/practice/zacks-eye-clinic","","London, W1T 6AZ","Ophthalmology; Optometry; Paediatric Ophthalmology and Strabismus","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"My Podiatry Clinic","https://www.doctify.com/uk/practice/podiatry-at-home","","London, N12 9DL","Endocrinology & Diabetes; Ophthalmology; Podiatry","","5","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"London Surgical Suites","https://www.doctify.com/uk/practice/london-surgical-suites","","London, .","Breast Surgery; Cosmetic (Aesthetic) Medicine; Cosmetic Plastic Surgery; Hair Restoration; Oculoplastic Surgery; Ophthalmology; Plastic Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Vision Care Harrow","https://www.doctify.com/uk/practice/vision-care-harrow","","Wealdstone, HA3 7AF","Cataract Surgery; Glaucoma; Ophthalmology; Optometry","","63","","","","1-2052781823","","Mr Chaitan Munjal Joshi","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Chaitan Munjal Joshi","","","","","","","","","","","","","unknown","","","","",""
"London Clinic Private Consulting Rooms","https://www.doctify.com/uk/practice/london-clinic-private-consulting-rooms","","London, W1G 7JL","General Surgery; Upper GI (Gastrointestinal) Surgery; Weight Loss & Bariatric Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"My-iClinic","https://www.doctify.com/uk/practice/my-iclinic","","London, N12 9RY","Cataract Surgery; Glaucoma; Ophthalmology; Physiotherapy","","0","","","","1-482726029","Mrs Titilayo Olubola Odufuwa-Bolger","Mr John Paul Bolger","exact","","","","","","","NOT_FOUND","","","","","Mr John Paul Bolger","","","","","","","","","","","","","unknown","","","","",""
